variant,snr_db,nmse_db,loss_vs_full5_db,active_ratio,inactive_ratio
Ours,0,-7.1750018611568125,0.17637062635928746,0.7041015625,0.2958984375
Forced refresh K=3,0,-7.425059082367248,-0.07368659485114826,0.820361328125,0.17963867187500004
No residual-change score,0,-7.174162789748031,0.1772096977680686,0.7039225260416667,0.2960774739583333
Amplitude only + refresh,0,-7.424760519775685,-0.07338803225958479,0.8201822916666668,0.17981770833333321
Ours,5,-11.849441868640977,0.33671397272932246,0.6379557291666667,0.36204427083333335
Forced refresh K=3,5,-12.257955045067508,-0.07179920369720882,0.8179524739583334,0.18204752604166663
No residual-change score,5,-11.581899289074748,0.604256552295551,0.5946777343749999,0.40532226562500007
Amplitude only + refresh,5,-12.14706150178232,0.039094339587979476,0.7746744791666667,0.22532552083333335
Ours,10,-16.67178263830628,0.3193388045502452,0.6423014322916666,0.3576985677083334
Forced refresh K=3,10,-17.05902208874693,-0.06790064589040412,0.8201985677083334,0.17980143229166656
No residual-change score,10,-16.424852824194577,0.5662686186619474,0.6008463541666667,0.39915364583333335
Amplitude only + refresh,10,-16.957320070613555,0.03380137224296931,0.7787434895833333,0.22125651041666672
