tau,snr_db,nmse_db,loss_vs_full5_db,active_ratio,inactive_ratio,per_frame_ms
0.16,0,-7.364277867225411,-0.012905379709311049,0.9578938802083334,0.04210611979166656,0.5114657083140628
0.2,0,-7.3554463764853075,-0.004073888969207573,0.8299479166666666,0.17005208333333344,0.5015616353981992
0.22,0,-7.281082626313712,0.07028986120238834,0.7615071614583334,0.23849283854166659,0.48501953127318603
0.24,0,-7.1750018611568125,0.17637062635928746,0.7041015625,0.2958984375,0.4905572917171715
0.26,0,-7.0851069193570435,0.26626556815905644,0.6661783854166667,0.33382161458333326,0.49133463532295235
0.28,0,-7.02968699394285,0.32168549357325027,0.6452311197916666,0.3547688802083334,0.49095963534758386
0.32,0,-6.997232657807758,0.354139829708342,0.6327473958333333,0.3672526041666667,0.4770889687885453
0.16,5,-12.134579910774344,0.051575930595955555,0.7748209635416667,0.22517903645833326,0.4688871561787285
0.2,5,-11.899806485254668,0.2863493561156307,0.6573404947916666,0.34265950520833344,0.477988708250147
0.22,5,-11.859623752915578,0.32653208845472115,0.6422200520833334,0.35777994791666656,0.477720489470812
0.24,5,-11.849441868640977,0.33671397272932246,0.6379557291666667,0.36204427083333335,0.4807938438110189
0.26,5,-11.846818556408756,0.3393372849615428,0.636181640625,0.36381835937499996,0.4771601563030951
0.28,5,-11.845954151920417,0.3402016894498825,0.6350260416666667,0.36497395833333335,0.47946744795505464
0.32,5,-11.844588783763381,0.34156705760691786,0.6329915364583334,0.3670084635416666,0.4808932291477201
0.16,10,-16.94462933653692,0.04649210631960443,0.7786295572916667,0.22137044270833328,0.4817743124476692
0.2,10,-16.71912576197814,0.27199568087838344,0.6611653645833333,0.3388346354166667,0.47790971878688043
0.22,10,-16.681236447461075,0.3098849953954499,0.6464029947916667,0.35359700520833326,0.48205642709338764
0.24,10,-16.67178263830628,0.3193388045502452,0.6423014322916666,0.3576985677083334,0.48206249994109385
0.26,10,-16.669521785982088,0.3215996568744366,0.6407552083333333,0.3592447916666667,0.48309418737820425
0.28,10,-16.668832770306356,0.3222886725501688,0.6398111979166667,0.36018880208333326,0.485628906214212
0.32,10,-16.667622455743867,0.32349898711265723,0.63798828125,0.36201171875000004,0.48367231253602466
